index,handover_count,joint_limit_count,joint_margin_q1_mean,joint_margin_q1_std,joint_margin_q2_mean,joint_margin_q2_std,joint_margin_q3_mean,joint_margin_q3_std,joint_margin_q4_mean,joint_margin_q4_std,joint_margin_q5_mean,joint_margin_q5_std,joint_margin_q6_mean,joint_margin_q6_std
0,1,1,0.6457926533180774,0.04222020945568705,0.9216558516913377,0.06482016555986281,0.46160471893786686,0.5147265236655356,0.9015555590518861,0.09844444094811389,0.9325892465027092,0.06741075349729081,0.726210921407515,0.27378907859248497
10,2,1,0.5879132608823494,0.030851747541625535,0.9407007961053333,0.054994046017799,0.4265339747375363,0.3466545378590462,0.8554161801169164,0.16987389390242394,0.5939790016256631,0.2540662837687489,0.9184255116285305,0.10046999365840005
11,1,0,0.6819181374336535,0.07836685512359476,0.9199811997767293,0.06310786903788718,0.6780584161715757,0.29828699712665835,0.9369065170948281,0.06309345835178681,0.883278959947662,0.11672101252296274,0.8328611732239031,0.1671388227981434
12,2,0,0.5836142652263798,0.06024826832745524,0.9529121398500804,0.056139478796570275,0.4449525676427275,0.3101135936522466,0.8552010364812935,0.1741218722402447,0.5883339087139574,0.2971625803780153,0.9058940065624653,0.09974278167249724
13,2,2,0.5874867605908463,0.03071586557580965,0.9456983720692418,0.05420156498197991,0.37715944295703496,0.36177335204995953,0.9170668032869377,0.07354808464276341,0.5713991115872381,0.25241702986727665,0.9073185778078572,0.10205453337556548
14,1,0,0.6765087682127826,0.07302826901642062,0.9069816193927394,0.05020794775271642,0.7938880272499532,0.1823661774284383,0.9510894485767405,0.04891052686987446,0.998974045524907,0.0010257824164974783,0.761037859978646,0.23896213836568359
15,1,1,0.7008123672355739,0.09721146042997403,0.9276178097109247,0.07073783550195839,0.5571113821789749,0.4193127704829749,0.9479910923305441,0.052008883116070714,0.8908092394205054,0.10919075369715087,0.8057368513237821,0.19426313493097674
16,2,2,0.6675727124418414,0.04141479019743314,0.9444906782338289,0.05331955640200036,0.48040122612232133,0.31996005203793426,0.9694063359645887,0.03698073027410858,0.6992894655174149,0.39447287977008705,0.8847052799984935,0.1871924349640236
17,2,1,0.6425882637556984,0.027738443507242798,0.9498969677484566,0.054044680150429306,0.47653704328834934,0.3339308683856301,0.9564885205690018,0.04313132922079953,0.9040844169454355,0.15103972886775383,0.6421937183279784,0.24761942829047093
18,1,1,0.6483025106865592,0.044818363947838336,0.9249159335054131,0.06822053692481378,0.572425275446119,0.4039309097573674,0.7749266858381232,0.22507330035059764,0.662935118048038,0.33706488195196205,0.9465894583935134,0.05341038420785804
19,1,1,0.6363221724747647,0.03283729622958531,0.9181288746850704,0.06143347810447103,0.5648043241103189,0.4115515535612597,0.9897384880625093,0.010261510402904073,0.955822613157538,0.04417737996011811,0.6884379757564016,0.31156180859185156
1,2,1,0.6554466696565939,0.0406677765517101,0.948732748806904,0.05356585191678624,0.45464814836587425,0.3096955071371658,0.94027375868031,0.09512954458796441,0.7882414398395119,0.22093181555532207,0.7072952400213579,0.29340097767767115
2,1,1,0.6285616713017861,0.025082639056537796,0.9153436410478892,0.0584437398073564,0.49748109182509415,0.4788569313746559,0.8771769701815872,0.12282300526502765,0.9802942498082097,0.019705640074289155,0.7217603479270832,0.2782394321490602
3,2,2,0.6150713511809742,0.05585891214234708,0.9531495206721479,0.0556373991749549,0.39130319003894243,0.3506392098986497,0.9442140547716719,0.04773115876410213,0.6916696254443858,0.2809224793247007,0.7903452203271096,0.242790461138817
4,2,0,0.6094110082362588,0.005814479424672059,0.8966572841330238,0.03983857687357323,0.5852562012192367,0.39112798229384615,0.9628631212421026,0.03713687875789734,0.8793584790970783,0.12064134884432604,0.7608332400053337,0.2391667351324564
5,4,2,0.632992967819184,0.026142865804305863,0.9680449968773975,0.04328487439033319,0.3702710514467367,0.2806545953913468,0.8743640052060617,0.1145305219405721,0.7373948257152529,0.29791765341867527,0.7212346879421191,0.27966087688132374
6,2,1,0.5721638310534204,0.03201688192801885,0.9135705096358679,0.07679313199564368,0.47170204688752704,0.3289441411500115,0.945917431956199,0.04784380930318955,0.6598375888650797,0.27632670978436596,0.8071313655444508,0.21637860383860094
7,1,0,0.6641133305528364,0.06054161611634684,0.9102857803462203,0.05355124356299307,0.6894449434108159,0.2870169943400703,0.9778406582069309,0.02215932798178999,0.9796467073793673,0.020353182503131506,0.7109965612469997,0.2890034335364861
8,1,1,0.6873520104084482,0.08375475219379003,0.9283883656534953,0.07139106252307659,0.39635239088327534,0.5800901976606063,0.8104359371664087,0.18956402446892717,0.6820682433019856,0.31793172916863927,0.997410034266549,0.0025899474283190838
9,2,4,0.6493848433340861,0.040267778795375436,0.9507679782782817,0.05471285634596932,0.3461344165978587,0.36404248669139744,0.9852476513931182,0.014276531957036858,0.7133629519775022,0.40354814877105577,0.8505174654397462,0.24762838704584728
overall,1.65 ± 0.73,1.10 ± 0.94,0.6387,0.0359,0.9319,0.0188,0.5018,0.1153,0.9187,0.0581,0.7897,0.1417,0.8043,0.0955
